PW_MODEL_PW2281S_20_6 ,,
Capacity=2.6358AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,0.899791241,0.522773266
1,0.935973883,0.513765812
2,0.966011941,0.497889519
3,0.989131808,0.475988388
4,1.00773406,0.450527668
5,1.022901535,0.425608158
6,1.035578013,0.401985645
7,1.046980977,0.382556915
8,1.057189107,0.365610123
9,1.066548705,0.351438522
10,1.074965715,0.34081459
11,1.083212256,0.330548286
12,1.091380119,0.323228836
13,1.09945035,0.317354202
14,1.107552767,0.313544273
15,1.115470171,0.311126709
16,1.122948408,0.308637619
17,1.130154252,0.306787491
18,1.137104034,0.305585861
19,1.143971682,0.302472115
20,1.150266171,0.301136971
21,1.156593323,0.299010277
22,1.162621737,0.296192169
23,1.168335795,0.294518471
24,1.173738122,0.292806625
25,1.179004073,0.291085243
26,1.183945894,0.289368629
27,1.188800216,0.287418365
28,1.193346024,0.285620689
29,1.197749972,0.28345108
30,1.202045918,0.282726288
31,1.20606029,0.281171799
32,1.21008575,0.279254913
33,1.214003563,0.277867317
34,1.217684269,0.277094841
35,1.221248746,0.274448395
36,1.224760532,0.27256012
37,1.228087187,0.271339417
38,1.231381893,0.268201828
39,1.234525919,0.266304016
40,1.237648845,0.265259743
41,1.240894198,0.262832642
42,1.243991375,0.260066986
43,1.247030377,0.257515907
44,1.249911666,0.25580883
45,1.252733588,0.253753662
46,1.255494833,0.251603127
47,1.258249164,0.249109268
48,1.260925412,0.247449875
49,1.263547301,0.245947838
50,1.266119003,0.243902206
51,1.268606186,0.242257118
52,1.27107966,0.240035057
53,1.27349782,0.237936974
54,1.275932312,0.236172676
55,1.278364539,0.23373127
56,1.280665278,0.231738091
57,1.283101678,0.229754448
58,1.285529256,0.226874352
59,1.287841201,0.225362778
60,1.290086508,0.223002434
61,1.29240942,0.220780373
62,1.294788837,0.219073296
63,1.297262669,0.216517448
64,1.299558997,0.214753151
65,1.301787615,0.212931633
66,1.304248929,0.210943222
67,1.306692004,0.207743645
68,1.309079766,0.206298828
69,1.311478615,0.204968452
70,1.313907862,0.202536583
71,1.316226602,0.20175457
72,1.318502188,0.199766159
73,1.320833087,0.199270248
74,1.323351979,0.196065903
75,1.326610565,0.193629265
76,1.330078363,0.190753937
77,1.333765626,0.189361572
78,1.33775425,0.186548233
79,1.341946363,0.183839798
80,1.346355319,0.182065964
81,1.351173401,0.180134773
82,1.356274009,0.177311897
83,1.361493111,0.17592907
84,1.366867423,0.174221992
85,1.372321844,0.173001289
86,1.377936602,0.171175003
87,1.383576274,0.170288086
88,1.38948822,0.169677734
89,1.395831823,0.168738365
90,1.402704716,0.166916847
91,1.410393477,0.165367126
92,1.418932438,0.161323547
93,1.428718686,0.156292915
94,1.44033289,0.149931908
95,1.454013825,0.144343376
96,1.470209956,0.138864517
97,1.48977828,0.134778023
98,1.514539838,0.133943558
99,1.548488498,0.139036179
100,1.600746632,0.279226303
